0,number_of_schools
14 DUNHAM PLACE,15
14 EAST 33 STREET,20
14 EAST 4 STREET,20
14 EAST 55 STREET,20
14 EAST 62 STREET,18
14 EAST 76 STREET,20
14 EAST 80 STREET,20
14 FT GREENE PLACE,20
14 HOPE STREET,20
14 JAY STREET,20
14 LEONARD STREET,20
14 MAIDEN LANE,20
14 MORTON STREET,20
14 MURRAY STREET,20
14 SHERMAN STREET,8
14 SICKLES STREET,19
14 SKILLMAN AVENUE,20
14 SPENCER STREET,20
14 ST FELIX STREET,20
14 STOCKHOLM STREET,20
14 THAYER STREET,16
14 WEST 14 STREET,20
14-15 31 AVENUE,11
14-20 30 AVENUE,18
14-20 31 DRIVE,8
14-23 BROADWAY,12
14-24 30 AVENUE,18
14-25 BROADWAY,11
14-31 27 AVENUE,9
14-31 28 AVENUE,15
14-31 30 DRIVE,19
14-31 31 DRIVE,9
14-31 ASTORIA BOULEVARD,12
14-33 33 ROAD,13
14-34 31 AVENUE,10
14-35 33 ROAD,13
14-35 BROADWAY,10
14-38 28 AVENUE,17
14-38 30 DRIVE,20
14-43 28 AVENUE,15
14-44 31 DRIVE,9
14-48 30 DRIVE,20
140 4 AVENUE,20
140 7 AVENUE,20
140 BAY RIDGE PARKWAY,13
140 EAST 16 STREET,20
140 EAST 56 STREET,20
140 FROST STREET,14
140 HOPE STREET,20
140 MARTENSE STREET,20
140 MILTON STREET,0
140 ORCHARD ST,20
140 PARK PLACE,20
140 RIVERSIDE BOULEVARD,20
140 ST JAMES PLACE,20
140 WEST 10 STREET,20
140 WEST 130 STREET,20
140 WEST 15 STREET,20
140 WEST 22 STREET,20
140 WEST 4 STREET,20
140 WEST 55 STREET,18
140 WEST 79 STREET,20
140 WYCKOFF AVENUE,16
140-17 84 DRIVE,8
140-18 ASH AVENUE,20
140-21 32 AVENUE,13
140-26 FRANKLIN AVENUE,20
140-60 BEECH AVENUE,17
1400 5 AVENUE,20
1400 6 AVENUE,13
1400 YORK AVENUE,20
1402 METROPOLITAN AVENUE,15
1402 WEST 4 STREET,14
1404 BROOKLYN AVENUE,10
1405 5 AVENUE,20
1405 71 STREET,12
1405 BROOKLYN AVENUE,11
1405 HANCOCK STREET,16
1406 BROOKLYN AVENUE,10
1406 NEW YORK AVENUE,14
1408 MADISON AVENUE,20
1409 FULTON STREET,20
1409 WEST 7 STREET,17
140A LEXINGTON AVENUE,20
141 2 AVENUE,20
141 9 STREET,12
141 ALLEN STREET,20
141 CONSELYEA STREET,20
141 DIVISION STREET,20
141 EAST 17 STREET,20
141 EAST 19 STREET,18
141 EAST 39 STREET,20
141 EAST 56 STREET,20
141 EAST 89TH ST,20
141 MARTENSE STREET,20
141 MONTROSE AVENUE,20
141 MULBERRY STREET,20
141 NORTH 9 STREET,18
141 WEST 74 STREET,20
141-18 CHERRY AVENUE,18
141-21 UNION TURNPIKE,5
141-25 NORTHERN BOULEVARD,20
141-30 PERSHING CRESCENT,5
141-35 85 ROAD,11
141-40 84 DRIVE,8
141-50 85 ROAD,11
1410 PUTNAM AVENUE,20
1410A PUTNAM AVENUE,20
1411 HERKIMER STREET,19
1412 OCEAN AVENUE,10
1413 NEW YORK AVENUE,12
1418 DE KALB AVENUE,19
141A NELSON STREET,12
142 14 STREET,11
142 DUANE STREET,20
142 EAST 49 STREET,20
142 EAST 56 STREET,20
142 GRATTAN STREET,9
142 HENRY STREET,20
142 NORTH 6 STREET,20
142 PROSPECT PARK WEST,15
142 STOCKHOLM STREET,20
142 SULLIVAN STREET,20
142 WEST 119 STREET,20
142 WILSON AVENUE,16
142-01 41 AVENUE,20
142-02 84 DRIVE,9
142-10 ROOSEVELT AVENUE,20
142-19 BARCLAY AVENUE,20
142-29 37 AVENUE,20
1420 LINCOLN PLACE,20
1420 YORK AVENUE,20
1422 GREENE AVENUE,18
1423 BROADWAY,13
1424 BAY RIDGE PARKWAY,8
1425 3 AVENUE,20
1427 TAYLOR AVENUE,5
143 HUNTINGTON STREET,12
143 MONROE STREET,20
143 MONTAGUE STREET,20
143 NEWEL STREET,10
143 NORTH 11 STREET,19
143 RICHARDSON STREET,14
143 SKILLMAN AVENUE,15
143 WAVERLY PLACE,20
143 WEST 30 STREET,20
143 WEST 96 STREET,20
143-07 SANFORD AVENUE,19
143-08 ROOSEVELT AVENUE,20
143-25 41 AVENUE,20
143-43 41 AVENUE,20
143-45 SANFORD AVENUE,17
1431 1 AVENUE,20
1431 BUSHWICK AVENUE,14
1432 PITKIN AVENUE,20
1434 DE KALB AVENUE,20
1437 WEST 4 STREET,13
1438 3 AVENUE,20
1438 BUSHWICK AVENUE,15
1438 EAST 4 STREET,11
1439 MYRTLE AVENUE,20
144 MARTENSE STREET,20
144 NORTH 8 STREET,20
144 SUMPTER STREET,20
144 WEST 109 STREET,20
144-37 79 AVENUE,15
1440 OCEAN PARKWAY,17
1449 BUSHWICK AVENUE,14
145 4 AVENUE,20
145 BATTERY AVENUE,7
145 COURT STREET,20
145 EAST 15 STREET,20
145 EAST 29 STREET,20
145 EAST 48 STREET,20
145 HENRY STREET,20
145 HUDSON STREET,20
145 KENILWORTH PLACE,12
145 LINCOLN ROAD,14
145 SULLIVAN STREET,20
145 WAVERLY PLACE,20
145 WEST 14 STREET,20
145 WEST 21 STREET,20
145 WEST 58 STREET,15
145 WEST 79 STREET,20
1450 2 AVENUE,20
1452 2 AVENUE,20
1452 CARROLL STREET,20
1453 BUSHWICK AVENUE,14
1456 ST JOHN'S PLACE,20
1457 3 AVENUE,20
1459 BUSHWICK AVENUE,14
1459 FULTON STREET,18
146 1 AVENUE,20
146 92 STREET,10
146 DUANE STREET,20
146 EAST BROADWAY,20
146 ORCHARD STREET,20
146 SOUTH 4TH STREET,20
146 WEST 133 STREET,20
146 WEST 57 STREET,19
146-26 35 AVENUE,10
146-39 14 AVENUE,8
1460 CARROLL STREET,20
1460 LEXINGTON AVENUE,20
1461 76 STREET,8
1462 68 STREET,16
1462 73 STREET,10
1463 EAST 73 STREET,6
1465 5 AVENUE,20
1467 BEDFORD AVENUE,20
1469 PRESIDENT STREET,20
147 EAST 37 STREET,20
147 MONTAGUE STREET,20
147 NORTH 6 STREET,20
147 REMSEN STREET,20
147 ROGERS AVENUE,16
147 SOUTH 4 STREET,20
147 WEST 111 STREET,20
147 WEST 79 STREET,20
147 WEST 88 STREET,20
147 WITHERS STREET,15
147-14 84 AVENUE,11
147-48 84 DRIVE,13
1470 OCEAN PARKWAY,17
1474 BUSHWICK AVENUE,17
1475 PRESIDENT STREET,20
1476 FULTON STREET,20
1479 DAHILL ROAD,11
1479 EAST 34 STREET,16
148 EAST 24 STREET,20
148 EAST 84 STREET,20
148 EAST 98 STREET,20
148 EAST BROADWAY,20
148 HULL STREET,20
148 LINDEN BOULEVARD,20
148 LUQUER STREET,14
148 MESEROLE STREET,20
148 WEST 111 STREET,20
148 WEST 142 STREET,20
148 WEST 68 STREET,20
148 WEST 76 STREET,20
1481 NOSTRAND AVENUE,15
1484 PROSPECT PLACE,17
1485 5 AVENUE,20
1485 FULTON STREET,20
1487 BROADWAY,13
1488 BUSHWICK AVENUE,16
1488 FULTON STREET,20
148A MADISON STREET,20
149 31 STREET,9
149 96 STREET,7
149 AINSLIE STREET,20
149 BRIGHTON 11 STREET,13
149 BROADWAY,19
149 CLARKSON AVENUE,13
149 ORCHARD STREET,20
149 SPRING STREET,20
149 WEST 120 STREET,20
149 WEST 80 STREET,20
149-47 22 AVENUE,5
1490 OCEAN AVENUE,8
1493 BROADWAY,20
1494 OCEAN AVENUE,9
1496 FIFTH AVENUE,20
1498 DE KALB AVENUE,18
1499 GATES AVENUE,20
15 ABINGDON SQUARE,20
15 BROAD STREET,20
15 CENTRAL PARK WEST,20
15 CHARLES STREET,20
15 CLIFF STREET,20
15 EAST 11 STREET,20
15 EAST 26 STREET,20
15 EAST 69 STREET,20
15 EAST 76 STREET,20
15 GATES AVENUE,13
15 JACKSON STREET,16
15 KINGSLAND AVENUE,12
15 PARK ROW,20
15 RENWICK STREET,16
15 ROEBLING STREET,20
15 SOUTH OXFORD STREET,19
15 WEST 120 STREET,20
15 WEST 17 STREET,20
15 WEST 53 STREET,20
15 WEST 55 STREET,20
15 WEST 63 STREET,20
15 WEST 75 STREET,19
15 WILLIAM STREET,20
150 4 AVENUE,20
150 88 STREET,14
150 96 STREET,7
150 CHARLES STREET,15
150 COLUMBUS AVENUE,20
150 EAST 18 STREET,19
150 EAST 30 STREET,20
150 EAST 34 STREET,20
150 EAST 39 STREET,20
150 EAST 3RD STREET,20
150 EAST 44 STREET,20
150 EAST 85 STREET,20
150 EAST 87 STREET,20
150 GRAHAM AVENUE,20
150 HENRY STREET,20
150 JAVA STREET,6
150 JOHNSON AVENUE,20
150 LUDLOW STREET,20
150 MARTENSE STREET,20
150 MYRTLE AVENUE,20
150 NASSAU STREET,20
150 NEWEL STREET,9
150 NORTH 12TH STREET,19
150 NORTH 5 STREET,20
150 SULLIVAN STREET,20
150 WEST 225 STREET,20
150 WEST 51 STREET,20
150 WEST 56 STREET,18
150 WEST 92 STREET,20
150-09 NORTHERN BOULEVARD,13
1500 BUSHWICK AVENUE,14
1500 LEXINGTON AVENUE,20
1501 ATLANTIC AVENUE,20
1501 METROPOLITAN AVENUE,15
1501 VOORHIES AVENUE,8
1502 8 AVENUE,18
1505 GATES AVENUE,20
1506 NEW YORK AVENUE,14
1508 BEDFORD AVENUE,20
1509 EAST 17 STREET,20
1509 LEXINGTON AVENUE,20
1509 NOSTRAND AVENUE,14
151 AVENUE A,20
151 BOERUM STREET,20
151 CARROLL STREET,20
151 COLUMBIA HEIGHTS,9
151 EAST 30 STREET,20
151 EAST 58 STREET,20
151 EAST 85 STREET,20
151 EAST 90 STREET,20
151 NOLL STREET,10
151 STANTON STREET,20
151 WEST 16 STREET,20
151 WEST 17 STREET,20
151 WEST 21 STREET,20
151 WEST 72 STREET,20
151 WEST 76 STREET,20
151-09 34 AVENUE,9
151-10 35 AVENUE,10
151-155 EAST 31 STREET,20
151-49 20 ROAD,4
1510 CARROLL STREET,20
1510 DE KALB AVENUE,17
1510 LEXINGTON AVENUE,20
1510 YORK AVENUE,20
1517 OCEAN AVENUE,9
1517 PARK PLACE,16
1519 FULTON STREET,20
152 5 AVENUE,20
152 BROADWAY,20
152 DECATUR STREET,20
152 EAST 35 STREET,20
152 EAST 84 STREET,20
152 NORTH 8 STREET,20
152 SHERMAN AVENUE,20
152 WEST 75 STREET,20
152 WOODPOINT ROAD,13
152-09 88 AVENUE,20
1520 CARROLL STREET,20
1524 SHEEPSHEAD BAY ROAD,6
1526 ST NICHOLAS AVENUE,20
1529 FLATBUSH AVENUE,13
153 EAST 18 STREET,20
153 MANHATTAN AVENUE,20
153 NORFOLK STREET,20
153 OCEAN AVENUE,6
153 REMSEN STREET,20
153 WEST 80 STREET,20
153-30 89 AVENUE,20
153-31 75 AVENUE,17
1532 ST JOHN'S PLACE,20
1535 EAST 14 STREET,20
1538 EAST 14 STREET,20
1539 PARK PLACE,14
154 ATTORNEY STREET,20
154 EAST 106 STREET,20
154 MONTAGUE STREET,20
154 NORTH 8 STREET,20
154 SOUTH 2 STREET,20
154 WEST 27 STREET,20
154 WEST 77 STREET,20
154 WOODWARD AVENUE,7
1540 GATES AVENUE,20
1542 61 STREET,19
1543 EAST 19 STREET,20
1543 WEST 1 STREET,7
1545 PACIFIC STREET,20
1545 RHINELANDER AVENUE,2
1546 BATH AVENUE,6
154A 18 STREET,13
155 BAY 32 STREET,7
155 BAY STREET,7
155 EAST 29 STREET,20
155 EAST 34 STREET,20
155 EAST 52 STREET,20
155 HENRY STREET,20
155 MANHATTAN AVENUE,20
155 MESEROLE STREET,20
155 PERRY STREET,16
155 RIVERSIDE DRIVE,20
155 SOUTH 2 STREET,20
155 WEST 18 STREET,20
155 WEST 68 STREET,20
155 WEST 70 STREET,20
155 WEST 71 STREET,20
155 WEST 76 STREET,20
1550 84 STREET,8
1552 PRESIDENT STREET,20
1553 OCEAN AVENUE,11
1555 EAST 13 STREET,20
1555 EAST 19 STREET,20
1557 EASTERN PARKWAY,20
1557 LEXINGTON AVENUE,20
1559 59 STREET,17
156 EAST 7 STREET,20
156 GRAND STREET,20
156 HOPE STREET,20
156 IRVING AVENUE,18
156 KNICKERBOCKER AVENUE,7
156 PRINCE STREET,20
156 SHERMAN AVENUE,20
156 WEST 123 STREET,20
156 WEST 22 STREET,20
156 WEST 75 STREET,20
156-08 RIVERSIDE DRIVE WEST,7
156-11 79 STREET,3
156-158 2 AVENUE,20
1561 PACIFIC STREET,20
1565 LINCOLN PLACE,20
1565 ODELL STREET,14
1566 PACIFIC STREET,20
1566 PROSPECT PLACE,16
157 2 AVENUE,20
157 CORNELIA STREET,20
157 DANIEL LOW TERRACE,9
157 EAST 32 STREET,20
157 EAST 33 STREET,20
157 EAST 57 STREET,20
157 EAST 72 STREET,20
157 FRANKLIN STREET,5
157 NORTH 5 STREET,20
157 WEST 57 STREET,19
157-58 22 AVENUE,4
1570 EAST 14 STREET,20
1575 UNIONPORT ROAD,13
1576 1 AVENUE,20
1579 BAY RIDGE PARKWAY,10
158 FRANKLIN STREET,20
158 GARFIELD PLACE,20
158 HAGAMAN PLACE,6
158 INDIA STREET,6
158 MOTT STREET,20
158 NORTH 4 STREET,20
158 POWERS STREET,20
158 PRESIDENT STREET,15
158 ROGERS AVENUE,20
158 UTICA AVENUE,20
158 WEST 83 STREET,20
1580 3 AVENUE,20
1580 PRESIDENT STREET,20
1581 PRESIDENT STREET,20
1582 UNION STREET,20
1585 BERGEN STREET,18
1588 PRESIDENT STREET,20
1589 PRESIDENT STREET,20
159 1/2 7 AVENUE SOUTH,20
159 74 STREET,9
159 MADISON AVENUE,20
159 NEWEL STREET,11
159 W 118TH ST,20
159 WEST 129 STREET,20
159 WEST 53 STREET,18
159 WEST 71 STREET,20
159 WEST 78 STREET,20
159 WEST 80 STREET,20
159 WINTHROP STREET,12
1593 2 AVENUE,20
1593 STERLING PLACE,14
1595 2 AVENUE,20
1595 EAST 19 STREET,20
1595 LEXINGTON AVENUE,20
16 3 STREET,14
16 DEVOE STREET,20
16 EAST 129 STREET,20
16 EAST 62 STREET,17
16 JUDGE STREET,20
16 MAUJER STREET,20
16 MONITOR STREET,8
16 SPRING STREET,20
16 WARREN STREET,20
16 WEST 40 STREET,20
16-36 PUTNAM AVENUE,19
16-60 BELL BOULEVARD,3
160 5 AVENUE,19
160 88 STREET,15
160 BEDFORD AVENUE,20
160 BLEECKER STREET,20
160 CENTRAL PARK SOUTH,20
160 EAST 22ND STREET,20
160 EAST 3 STREET,20
160 EAST 38 STREET,20
160 EAST 84 STREET,20
160 EAST 88 STREET,20
160 GRAHAM AVENUE,20
160 LEROY STREET,12
160 MOTT STREET,20
160 OCEAN PARKWAY,13
160 PARKSIDE AVENUE,15
160 RIVERSIDE BOULEVARD,20
160 SCHOLES STREET,20
160 SHERMAN AVENUE,20
160 WEST 12TH STREET,20
160 WEST 24 STREET,20
160 WEST 66 STREET,20
160 WEST STREET,2
1600 BEVERLY ROAD,20
1600 BROADWAY,20
1600 CATON AVENUE,19
1600 OCEAN PARKWAY,16
1601 OCEAN PARKWAY,18
1601-1605 PUTNAM AVENUE,20
1602 AVENUE I,14
1602 UNION STREET,20
1605 2 AVENUE,20
1608 UNION STREET,20
161 70 STREET,9
161 ATTORNEY STREET,20
161 EAST 110 STREET,20
161 EAST 32 STREET,15
161 MAUJER STREET,20
161 NELSON STREET,11
161 NORTH 4 STREET,20
161 WASHINGTON AVENUE,17
161 WEST 61 STREET,20
161 WINTHROP STREET,12
161-33 99 STREET,3
1610 DE KALB AVENUE,13
1610 EASTERN PARKWAY,20
1615 ST MARKS AVENUE,20
1619 THIRD AVENUE,20
162 1 AVENUE,20
162 16 STREET,19
162 BEDFORD AVENUE,20
162 CLERMONT AVENUE,15
162 EAGLE STREET,2
162 EAST 81 STREET,20
162 NEWTON STREET,9
162 NORTH 12 STREET,20
162 ORCHARD STREET,20
162 WEST 54 STREET,17
162 WEST 56 STREET,17
162 WEST 80 STREET,20
162 WILSON AVENUE,17
162-15 HIGHLAND AVENUE,20
1620 OCEAN AVENUE,16
1623 3 AVENUE,20
1625 EAST 13 STREET,20
1625 EAST 32 STREET,9
1625 LEXINGTON AVENUE,20
1625 PUTNAM AVENUE,20
1625 UNION STREET,20
1626 2 AVENUE,20
1626 8 AVENUE,14
1628 UNION STREET,20
163 CARLTON AVENUE,14
163 CORNELIA STREET,20
163 EAST 107 STREET,20
163 EAST 87 STREET,20
163 JACKSON STREET,13
163 MOTT STREET,20
163 NORTH 6TH STREET,20
163 RIVINGTON STREET,20
163 SOUTH 1 STREET,20
163 ST NICHOLAS AVENUE,12
163 VERNON AVENUE,20
163 WASHINGTON AVENUE,17
163 WEST 80 STREET,20
1631 ST JOHN'S PLACE,19
1633 MACOMBS ROAD,20
1635 LEXINGTON AVENUE,20
1635-1641 PUTNAM AVENUE,20
1637 NOSTRAND AVENUE,14
1638 8 AVENUE,12
163A 14 STREET,12
164 ATTORNEY STREET,20
164 CENTRAL AVENUE,14
164 DOUGLASS STREET,20
164 DRIGGS AVENUE,7
164 EAST 112 STREET,20
164 EAST 91 STREET,20
164 KENT AVENUE,15
164 LAFAYETTE AVENUE,20
164 SCHOLES STREET,20
164 STANTON STREET,20
164 STUYVESANT AVENUE,20
1640 3 AVENUE,20
1640 OCEAN PARKWAY,14
1641 BROADWAY,17
1641 THIRD AVENUE,20
1642 CORNELIA STREET,16
1645 YORK AVENUE,20
1647 PARK PLACE,20
165 23 STREET,8
165 CHRISTOPHER STREET,15
165 CONCORD STREET,20
165 COVERT STREET,17
165 ELIZABETH STREET,20
165 HAVEMEYER STREET,20
165 HENRY STREET,20
165 MONTROSE AVENUE,20
165 SEAMAN AVENUE,14
165 WARREN STREET,20
1655 FLATBUSH AVENUE,5
1655 PALMETTO STREET,18
166 EAST 108 STREET,20
166 EAST 82 STREET,20
166 HALSEY STREET,20
166 HERKIMER STREET,20
166 MONTAGUE STREET,20
166 ROGERS AVENUE,20
166 SMITH STREET,19
166 WEST 123 STREET,20
166 WEST 18TH STREET,20
166 WEST 4 STREET,20
166 WEST 72 STREET,20
166-05 HIGHLAND AVENUE,20
1660 CORNELIA STREET,15
1661 11 AVENUE,4
1661 PARK AVENUE,20
1666 DEAN STREET,20
1669 70 STREET,9
1669 PRESIDENT STREET,20
167 32 STREET,9
167 CLERMONT AVENUE,18
167 EAST 87 STREET,20
167 GRAHAM AVENUE,20
167 MOTT STREET,20
167 PARK PLACE,20
167 SUNNYSIDE AVENUE,6
167 WEST 85 STREET,20
1670 GATES AVE,17
1671 WEST 4 STREET,9
1672 GATES AVENUE,20
1673 NOSTRAND AVENUE,17
1674 PUTNAM AVENUE,13
1677 LEXINGTON AVENUE,20
168 THROOP AVENUE,20
168 WEST 86 STREET,20
1680 YORK AVENUE,20
1683 55 STREET,15
169 23 STREET,8
169 5 AVENUE,20
169 9 STREET,15
169 EAST 101 STREET,20
169 EAST 102 STREET,20
169 HUDSON STREET,20
169 KINGSTON AVENUE,20
169 SUFFOLK STREET,20
1692 2 AVENUE,20
1695 3 AVENUE,20
1699 LEXINGTON AVENUE,20
17 ANN STREET,20
17 BOND STREET,20
17 CONSELYEA STREET,20
17 CORNELIA STREET,20
17 EAST 17 STREET,5
17 GREENWICH AVENUE,20
17 MARCONI PLACE,20
17 MONITOR STREET,7
17 SOUTH WILLIAM STREET,20
17 ST MARK'S PLACE,20
17 STUYVESANT OVAL,20
17 STUYVESANT STREET,20
17-14 LINDEN STREET,19
17-17 CLINTONVILLE STREET,4
17-17 LINDEN STREET,17
17-17 STANHOPE STREET,13
170 AMSTERDAM AVENUE,20
170 AVENUE B,20
170 BEDFORD AVENUE,20
170 EAST 100 STREET,20
170 EAST 19 STREET,19
170 EAST 2 STREET,20
170 EAST 83 STREET,20
170 EAST 87 STREET,20
170 EAST END AVENUE,17
170 HAWTHORNE STREET,13
170 NORTH 5 STREET,20
170 PARKSIDE AVENUE,14
170 TILLARY STREET,20
170 WEST 23 STREET,20
170 WEST 74 STREET,20
170 WOODRUFF AVENUE,18
1700 LEXINGTON AVENUE,20
1700 YORK AVENUE,20
1704 PITMAN AVENUE,6
1705 BAY RIDGE PARKWAY,5
1705 CATON AVENUE,17
1705 ELM AVENUE,20
1705 LEXINGTON AVENUE,20
1705 PRESIDENT STREET,20
1706 8 AVENUE,16
1707 DITMAS AVENUE,9
1709 2 AVENUE,20
171 ADELPHI STREET,18
171 AINSLIE STREET,20
171 AVENUE A,20
171 BAYARD STREET,13
171 BLEECKER STREET,20
171 EAST 117 STREET,20
171 EAST 74 STREET,20
171 EAST 84 STREET,20
171 HESTER STREET,20
171 MESEROLE STREET,20
171 WEST 81 STREET,20
171 WEST 83 STREET,20
1710 CARROLL STREET,20
1710 CATON AVENUE,14
1713 EAST 14 STREET,20
1714 66 STREET,11
1715 VOORHIES AVENUE,7
1716 EAST 12 STREET,20
1716 GROVE STREET,14
1717 GREENE AVENUE,12
172 EAST 4 STREET,20
172 HALSEY STREET,20
172 MADISON AVENUE,20
172 MONTAGUE STREET,20
172 RIVINGTON STREET,20
1720 PUTNAM AVENUE,15
1721 LEXINGTON AVENUE,20
1721 WOODBINE STREET,19
1722 GREENE AVENUE,13
1723 WEST 12 STREET,13
1727 BROADWAY,18
173 7 AVENUE,20
173 HART STREET,20
173 IRVING AVENUE,17
173 MARTENSE STREET,20
173 PROSPECT AVENUE,17
173 UTICA AVENUE,20
173 WEST 78 STREET,20
1733 2 AVENUE,20
1735 CATON AVENUE,14
1736 PACIFIC STREET,20
1737 EAST 27 STREET,7
174 EAST 2 STREET,20
174 EAST 82 STREET,20
174 EAST 85 STREET,20
174 ELIZABETH STREET,20
174 LINDEN STREET,20
174 NOLL STREET,9
1742 1 AVENUE,20
1744 2 AVENUE,20
1745 EAST 12 STREET,20
1749 2 AVENUE,20
175 COVERT STREET,16
175 EAST 101 STREET,20
175 EAST 105 STREET,20
175 FRANKLIN STREET,20
175 HAWTHORNE STREET,14
175 KENT AVENUE,15
175 OCEAN PARKWAY,13
175 ORCHARD STREET,20
175 VANDERBILT AVENUE,15
175 WEST 12 STREET,20
175 WEST 72ND STREET,20
175 WEST 87TH STREET,20
175 WEST 95 STREET,20
175-31-175-39 DALNY ROAD,10
1750 DEAN STREET,17
1752 DEAN STREET,17
1752 MONROE AVENUE,17
1752 UNION STREET,20
1754 2 AVENUE,20
1755 MADISON AVENUE,20
176 14 STREET,12
176 7 AVENUE,20
176 BLEECKER STREET,20
176 EAST 2 STREET,20
176 GELSTON AVENUE,10
176 JOHNSON STREET,20
176 SCHOLES STREET,20
176-26 SUNBURY ROAD,4
1760 1 AVENUE,20
1760 2 AVENUE,20
1762 DEAN STREET,17
1762 WEST 5 STREET,9
177 16 STREET,20
177 23 STREET,8
177 5 AVENUE,19
177 9TH AVENUE,20
177 AVENUE B,20
177 CONCORD STREET,20
177 COURT STREET,20
177 EAST 75TH STREET,20
177 EAST 93 STREET,20
177 HOPKINS STREET,20
177 MALCOLM X BOULEVARD,20
177 MAUJER STREET,20
177 RICHARDS STREET,8
177 SKILLMAN AVENUE,17
177-30 WEXFORD TERRACE,11
1770 MADISON AVENUE,20
1771 1 AVENUE,20
1774 EAST 17 STREET,20
1776 BEDFORD AVENUE,10
1777 LEXINGTON AVENUE,20
1779 UNION STREET,20
178 KINGSLAND AVENUE,6
178 LEXINGTON AVENUE,20
178 MESEROLE AVENUE,8
178-60 WEXFORD TERRACE,10
1788 3 AVENUE,20
1789 MONROE AVENUE,14
179 19 STREET,15
179 GRAND STREET,20
179 PARK PLACE,20
179 RUSSELL STREET,3
179 SULLIVAN STREET,20
179 WOODPOINT ROAD,15
1790 3 AVENUE,20
1790 PROSPECT AVENUE,20
1791 NEW YORK AVENUE,8
1793 RIVERSIDE DRIVE,7
1795 AMSTERDAM AVENUE,14
1796 3 AVENUE,20
18 EAST 12 STREET,20
18 EAST 125 STREET,20
18 HART STREET,20
18 LEONARD STREET,20
18 RICHARDSON STREET,19
18 STANHOPE STREET,19
18 WEST 12 STREET,20
18 WEST 121 STREET,20
18 WEST 48 STREET,20
18-02 25 ROAD,5
18-10 27 AVENUE,12
18-11 DITMARS BOULEVARD,3
18-17 CLINTONVILLE STREET,4
18-22 ASTORIA PARK SOUTH,5
18-24 PALMETTO STREET,16
18-27 21 ROAD,4
18-62 MENAHAN STREET,16
18-74 HIMROD STREET,10
180 5 AVENUE,19
180 72 STREET,9
180 AVENUE OF THE AMERICAS,20
180 BAINBRIDGE STREET,16
180 CLAREMONT AVENUE,20
180 EAST 93 STREET,20
180 MALCOLM X BOULEVARD,20
180 MESEROLE STREET,20
180 MONTAGUE STREET,20
180 MYRTLE AVENUE,20
180 NASSAU STREET,20
180 PROSPECT PARK WEST,11
180 RIVERSIDE BOULEVARD,20
180 SCHOLES STREET,20
180 SOUTH 4 STREET,20
180 WATER STREET,20
180 WEST 20 STREET,20
1800 ALBEMARLE ROAD,19
1800 EAST 12 STREET,20
1803 RIVERSIDE DRIVE,9
181 14 STREET,14
181 16 STREET,20
181 7 AVENUE,20
181 EAST 90 STREET,20
181 EAST 93 STREET,20
181 PRINCE STREET,20
181 SULLIVAN STREET,20
181 WEST 97 STREET,20
1810 3 AVENUE,20
1811 CORNELIA STREET,16
1814 GATES AVENUE,16
1815 PALMETTO STREET,17
1816 GATES AVENUE,16
1818 AVENUE L,20
182 AVENUE B,20
182 CLAREMONT AVENUE,20
182 EAST 111 STREET,20
182 EAST 19 STREET,7
182 EAST 95 STREET,20
182 HURON STREET,3
182 MALCOLM X BOULEVARD,20
182 MONTGOMERY STREET,14
182 NORTH 10 STREET,20
182 WEST 4 STREET,20
182-30 WEXFORD TERRACE,7
1821 EMMONS AVENUE,13
1821 PUTNAM AVENUE,14
1825 CORNELIA STREET,17
1825 PALMETTO STREET,16
1827 NOSTRAND AVENUE,11
1829 MADISON AVENUE,20
183 7 AVENUE,20
183 8 STREET,13
183 BEDFORD AVENUE,20
183 BUFFALO AVENUE,19
183 CHAUNCEY STREET,19
183 PRINCE STREET,20
183 VAN SICKLEN STREET,8
183-11 HILLSIDE AVENUE,7
1830 BROOKLYN AVENUE,6
1831 PAULDING AVENUE,12
1835 KIMBALL STREET,4
184 BAY 26 STREET,10
184 CLASSON AVENUE,18
184 GARFIELD PLACE,20
184 KENT AVENUE,16
184 LEXINGTON AVENUE,20
184 MESEROLE STREET,20
184 NOLL STREET,8
184 THOMPSON STREET,20
1840 EAST 13 STREET,20
1845 ADAM C POWELL BLVD,20
1848 2 AVENUE,20
185 AVENUE B,20
185 COLUMBIA HEIGHTS,9
185 EAST 85 STREET,20
185 FREEMAN STREET,2
185 PLYMOUTH STREET,9
185 SKILLMAN STREET,20
185 SOUTH 4 STREET,20
1854 ADAM C POWELL BLVD,20
1858 ADAM C POWELL BLVD,20
185A 8 STREET,13
186 BROADWAY,20
186 CLYMER STREET,20
186 FRANKLIN STREET,20
186 GREENPOINT AVENUE,6
186 HOWARD AVENUE,16
186 LENOX ROAD,20
186 LINCOLN PLACE,20
186 MOFFAT STREET,12
186 QUINCY STREET,20
186 RICHARDSON STREET,12
186 SCHOLES STREET,20
186 STATE STREET,20
1865 OCEAN AVENUE,15
1866 OCEAN AVENUE,15
1867 ADAM C POWELL BLVD,20
1869 GATES AVENUE,14
187 BEDFORD AVENUE,20
187 EAST 4 STREET,20
187 FRANKLIN STREET,3
187 MESEROLE STREET,20
187 PALMETTO STREET,20
187 PINEHURST AVENUE,14
187 SKILLMAN AVENUE,16
187 UTICA AVENUE,20
187 WAVERLY AVENUE,19
1873 2 AVENUE,20
1875 ATLANTIC AVENUE,20
