0,number_of_schools
105-37 65 AVENUE,8
105-40 62 ROAD,10
1050 EAST 38 STREET,7
1051 OCEAN AVENUE,4
10532 FLATLANDS 5 STREET,8
1054 BUSHWICK AVENUE,20
1059 BERGEN STREET,15
1059 MANHATTAN AVENUE,2
106 6 AVENUE,20
106 AVENUE S,14
106 BROADWAY,18
106 CENTRAL PARK SOUTH,12
106 EAST 42 STREET,10
106 FT WASHINGTON AVENUE,14
106 HART STREET,20
106 MAC DONOUGH STREET,20
106 MULBERRY STREET,20
106 NORTH 8 STREET,20
106 PINEHURST AVENUE,14
106 REMSEN AVENUE,20
106 SEIGEL STREET,20
106 WAKEMAN PLACE,2
106 WITHERS STREET,13
1060 6 AVENUE,20
1060 BROADWAY,17
1060 PUTNAM AVENUE,12
1065 LAFAYETTE AVENUE,20
1065 SECOND AVENUE,20
1067 MANHATTAN AVENUE,2
107 3 STREET,10
107 DUPONT STREET,2
107 EAST 102 STREET,20
107 GREENPOINT AVENUE,6
107 HAVEMEYER STREET,20
107 KENT STREET,6
107 LINDEN STREET,20
107 PATCHEN AVENUE,20
107 PROSPECT PARK WEST,15
107 PUTNAM AVENUE,18
107 SKILLMAN AVENUE,17
107 WEST 68 STREET,20
107 WEST 69 STREET,20
107-40 QUEENS BOULEVARD,15
1070 CARROLL STREET,20
1072 BERGEN STREET,13
1073 GREENE AVENUE,20
1075 WILLOUGHBY AVENUE,16
1076-1080 FULTON STREET,19
1079 MANHATTAN AVENUE,2
108 5 AVENUE,20
108 AINSLIE STREET,20
108 AVENUE B,20
108 BALTIC STREET,14
108 BROOKLYN AVENUE,20
108 CENTRAL AVENUE,12
108 EAST 38 STREET,20
108 EAST 97 STREET,20
108 FULTON STREET,20
108 GATES AVENUE,20
108 MACON STREET,20
108 NORTH 5 STREET,20
108 NORTH 8 STREET,20
108 PARK PLACE,20
108 PARK TERRACE EAST,12
108 TERRACE PLACE,8
108 WEST 129 STREET,20
108 WYCKOFF AVENUE,13
108-20 71 AVENUE,15
108-24 71 AVENUE,15
108-25 72 AVENUE,16
108-50 62 DRIVE,9
1081 EASTERN PARKWAY,20
1081 FULTON STREET,20
1081 MADISON STREET,20
1082 DE KALB AVENUE,20
1082 PRESIDENT STREET,20
1085 NELSON AVENUE,13
1086 BERGEN AVENUE,9
1087 FLUSHING AVENUE,8
1088 CARROLL STREET,20
109 EAST 100 STREET,20
109 GOLD STREET,13
109 LUDLOW STREET,20
109 NEWEL STREET,10
109 NORTH 3 STREET,20
109 PARK PLACE,20
109 PROSPECT PARK WEST,15
109 READE STREET,20
109 WASHINGTON STREET,20
109-05 72 AVENUE,17
109-05 QUEENS BOULEVARD,17
109-19 72 AVENUE,18
109-20 QUEENS BOULEVARD,15
1090 ST NICHOLAS AVENUE,18
1093 2 AVENUE,20
1094 MADISON STREET,20
1094 NEW YORK AVENUE,13
1095 PARK AVENUE,20
1099 FLUSHING AVENUE,7
11 2ND PLACE,18
11 4 PLACE,13
11 CARMINE STREET,20
11 DITMARS STREET,20
11 EAST 29 STREET,20
11 EAST 32 STREET,20
11 EAST 36 STREET,20
11 EAST 80 STREET,20
11 EAST 88 STREET,20
11 MAIDEN LANE,20
11 NIXON COURT,16
11 VESTRY STREET,20
11 WEST 8 STREET,20
11-02 49TH AVENUE,6
11-05 30 ROAD,7
11-22 45TH ROAD,9
11-35 45 AVENUE,10
11-40 31 DRIVE,8
11-51 44 DRIVE,11
110 3 AVENUE,20
110 4 AVENUE,20
110 BANK STREET,16
110 BEDFORD STREET,20
110 BENNETT AVENUE,20
110 CENTRAL PARK SOUTH,10
110 EAST 71 STREET,20
110 EAST 87 STREET,20
110 FORSYTH STREET,20
110 GATLING PLACE,9
110 GREEN STREET,3
110 GREENWICH STREET,20
110 HORATIO STREET,19
110 LIVINGSTON STREET,20
110 MARTENSE STREET,20
110 POST AVENUE,17
110 REMSEN STREET,20
110 SMITH STREET,20
110 SUMMIT STREET,15
110 WEST 14 STREET,20
110 WEST 86 STREET,20
110-20 73 ROAD,15
110-25 72 DRIVE,15
110-27 72 DRIVE,15
110-33 72 AVENUE,15
110-35 72 DRIVE,15
110-42 72 ROAD,15
110-48 72 AVENUE,3
110-55 72 ROAD,15
110-56 71 AVENUE,13
1100 JEFFERSON AVENUE,20
1100 LINCOLN PLACE,20
1101 MANHATTAN AVENUE,2
1101 UNION STREET,20
1101 WILLOUGHBY AVENUE,16
1102 AVENUE K,20
1108 DECATUR STREET,12
1108 HALSEY STREET,15
1109 DE KALB AVENUE,20
111 3 AVENUE,20
111 CENTRAL PARK NORTH,20
111 DIVISION STREET,20
111 EAST 80 STREET,20
111 EAST 88 STREET,20
111 EAST MOSHOLU PARKWAY NORTH,17
111 FULTON STREET,20
111 HANCOCK STREET,19
111 HICKS STREET,16
111 HURON STREET,3
111 KENT AVENUE,17
111 LAWRENCE STREET,20
111 MAC DOUGAL STREET,20
111 MERCER STREET,20
111 MURRAY STREET,20
111 NORTH 3 STREET,20
111 OAK STREET,6
111 PROSPECT PARK SOUTHWEST,2
111 WASHINGTON STREET,20
111 WEST 141 STREET,20
111 WEST 28 STREET,20
111 WEST 67 STREET,20
111 WEST 94 STREET,20
111 WORTH STREET,20
111-04 76 DRIVE,8
111-10 76 ROAD,9
111-12 CORONA AVENUE,5
111-20 76 DRIVE,8
111-20 76 ROAD,8
111-22 66 AVENUE,5
111-23 76 ROAD,9
111-32 76 AVENUE,10
111-39 76 ROAD,9
111-45 76 DRIVE,7
111-50 76 ROAD,7
111-55 77 AVENUE,8
1110 CARROLL STREET,20
